year,subject_area_abbrev,country,article_amount
2020,SOCI,France,5
2021,ENVI,France,7
2018,PHYS,Georgia,145
2020,PHYS,Georgia,88
2020,PHYS,Georgia,88
2022,PHYS,Georgia,63
2023,PHYS,Georgia,26
2018,PHYS,Germany,160
2019,BIOC,Germany,12
2019,CENG,Germany,5
2019,MULT,Germany,3
2019,PHYS,Germany,123
2020,DENT,Germany,3
2020,ECON,Germany,2
2023,EART,Germany,7
2023,MEDI,Germany,50
2019,MEDI,Greece,6
2020,PSYC,Greece,2
2022,CENG,Hong Kong,6
2022,CENG,Hong Kong,6
2018,PHYS,Hungary,146
2018,PHYS,India,148
2019,CHEM,India,11
2020,PHYS,India,101
2021,BIOC,India,29
2021,CENG,India,32
2021,ENVI,India,31
2021,MEDI,India,64
2022,BIOC,India,21
2022,CENG,India,33
2022,ENER,India,36
2022,MATH,India,17
2022,PHYS,India,82
2022,PHYS,India,82
2023,CHEM,India,21
2023,DECI,India,4
2023,MATE,India,21
2023,PHYS,India,48
2020,MEDI,Indonesia,34
2023,BIOC,Indonesia,14
2023,MEDI,Indonesia,33
2023,PHAR,Indonesia,7
2018,ENGI,Iran,20
2018,PHYS,Iran,146
2019,AGRI,Iran,5
2022,COMP,Iran,3
2023,ENGI,Iran,9
2020,PHYS,Ireland,91
2021,PHYS,Ireland,75
2021,DECI,Israel,1
2022,IMMU,Israel,3
2018,PHYS,Italy,152
2019,EART,Italy,2
2020,PHYS,Italy,104
2018,BIOC,Japan,47
2018,PHYS,Japan,46
2019,BUSI,Japan,4
2019,CHEM,Japan,43
2019,CHEM,Japan,43
2019,ENGI,Japan,55
2019,PHYS,Japan,49
2020,AGRI,Japan,30
2020,ARTS,Japan,2
2020,SOCI,Japan,5
2021,CENG,Japan,39
2021,CENG,Japan,39
2021,EART,Japan,24
2021,ENGI,Japan,54
2021,MEDI,Japan,84
2021,PHAR,Japan,12
2021,PHYS,Japan,32
2021,PHYS,Japan,32
2021,SOCI,Japan,18
2022,ENER,Japan,25
2023,ENVI,Japan,35
2021,BIOC,Kenya,2
2021,MEDI,Kenya,4
2023,PHYS,Kuwait,29
2018,PHYS,Latvia,144
2018,PHYS,Latvia,144
2019,ENGI,Latvia,6
2020,PHYS,Latvia,85
2020,PHYS,Latvia,85
2022,PHYS,Latvia,65
2020,PHYS,Lithuania,91
2021,PHYS,Lithuania,72
2018,PHYS,Malaysia,148
2018,PHYS,Malaysia,148
